StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please rate the following combination, based on your preference, on a scale of 1-7 
(with 1 being the least preferred and 7 being the most preferred) - Black Tea, Sweetened, Caffeinated, Can","Please rate the following combination, based on your preference, on a scale of 1-7 
(with 1 being the least preferred and 7 being the most preferred) - Black Tea, Sweetened, Decaffeinated, Glass Bottle","Please rate the following combination, based on your preference, on a scale of 1-7 
(with 1 being the least preferred and 7 being the most preferred) - Black Tea, Unsweetened, Caffeinated, Glass Bottle","Please rate the following combination, based on your preference, on a scale of 1-7 
(with 1 being the least preferred and 7 being the most preferred) - Black Tea, Unsweetened, Decaffeinated, Can","Please rate the following combination, based on your preference, on a scale of 1-7 
(with 1 being the least preferred and 7 being the most preferred) - Green Tea, Sweetened, Decaffeinated, Can","Please rate the following combination, based on your preference, on a scale of 1-7 
(with 1 being the least preferred and 7 being the most preferred) - Green Tea, Unsweetened, Caffeinated, Can","Please rate the following combination, based on your preference, on a scale of 1-7 
(with 1 being the least preferred and 7 being the most preferred) - Green Tea, Unsweetened, Decaffeinated, Glass Bottle","Please rate the following combination, based on your preference, on a scale of 1-7 
(with 1 being the least preferred and 7 being the most preferred) - Green Tea, Sweetened, Caffeinated, Glass Bottle","Thank you for your participation! If there is any other feedback you would like to provide regarding the contents of this survey, please feel free to do so here:  (Maximum Characters: 300)"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID3_TEXT""}"
2019-11-14 13:26:00,2019-11-14 13:27:55,0,174.205.7.92,100,114,1,2019-11-14 13:27:55,R_1Q4nqSrubHqKuMv,,,,,39.2841949462890625,-76.691802978515625,anonymous,EN,7,2,5,2,2,5,2,7,
2019-11-14 13:27:06,2019-11-14 13:28:25,0,172.58.21.159,100,79,1,2019-11-14 13:28:26,R_5BZWtWPovROXUtj,,,,,33.9575958251953125,-118.266998291015625,anonymous,EN,4,6,4,1,5,5,7,6,
2019-11-14 13:32:40,2019-11-14 13:33:43,0,152.3.34.30,100,62,1,2019-11-14 13:33:43,R_9QVbkjszk402UY9,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,4,4,3,4,3,3,4,3,Keep up the good work!
2019-11-14 13:32:07,2019-11-14 13:34:11,0,129.234.0.169,100,123,1,2019-11-14 13:34:11,R_30vDF1PIimnLKCz,,,,,54.7678985595703125,-1.56719970703125,anonymous,EN,3,3,1,1,7,6,4,6,
2019-11-14 13:38:20,2019-11-14 13:39:18,0,152.3.43.52,100,57,1,2019-11-14 13:39:18,R_WxuHBw2NJtH4lKV,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,2,4,2,2,2,2,3,4,
2019-11-14 13:39:25,2019-11-14 13:42:28,0,152.3.34.30,100,183,1,2019-11-14 13:42:28,R_1hRyhwNeEDtdNZo,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,3,2,5,3,2,4,3,4,Great job! Would have preferred huel in combination with these options...
2019-11-14 13:48:20,2019-11-14 13:48:56,0,98.245.210.160,100,35,1,2019-11-14 13:48:57,R_1eQpnJsf99QQQdd,,,,,39.10040283203125,-104.85479736328125,anonymous,EN,7,5,1,1,7,1,1,5,
2019-11-14 14:01:29,2019-11-14 14:05:55,0,107.77.230.90,100,265,1,2019-11-14 14:05:55,R_2aJ2BFslKFosHmC,,,,,33.8159942626953125,-117.96920013427734375,anonymous,EN,1,2,2,1,1,1,2,2,"I donâ€™t drink tea.  I think the it would be easier to answer if you had either 1) all the sweetened choices together OR 2) all the black tea together OR 3) all the can choices together etc depending on what the importance is of the choices. "
2019-11-14 14:15:33,2019-11-14 14:19:16,0,152.3.34.30,100,222,1,2019-11-14 14:19:16,R_2xEFmPtrzs1rzUT,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,5,5,2,1,5,4,5,7,Unsweetened Tea = ðŸš®
2019-11-14 14:16:19,2019-11-14 14:20:47,0,198.86.29.22,100,268,1,2019-11-14 14:20:47,R_3qkVPjoX3NRXB1Y,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,5,6,4,1,4,3,2,7,
2019-11-14 14:36:40,2019-11-14 14:37:17,0,106.209.184.0,100,37,1,2019-11-14 14:37:18,R_6MtG068lNnfmA2R,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,7,5,6,7,4,2,3,5,
2019-11-14 15:22:18,2019-11-14 15:24:13,0,8.18.218.255,100,114,1,2019-11-14 15:24:13,R_094I5PxvGIAYxoJ,,,,,37.7505950927734375,-122.41210174560546875,anonymous,EN,4,1,3,1,3,5,4,4,
2019-11-14 18:02:21,2019-11-14 18:04:44,0,49.36.10.179,100,142,1,2019-11-14 18:04:44,R_aeM2GR94RlS38qd,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,2,4,3,1,4,5,6,5,
2019-11-14 18:23:13,2019-11-14 18:28:04,0,49.32.249.182,100,290,1,2019-11-14 18:28:04,R_3KK30JaKROpnyYG,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,6,5,7,4,3,1,1,2,"Since this beverage is not hot , I would prefer it to be with lemon "
2019-11-14 18:39:22,2019-11-14 18:45:40,0,198.86.29.22,100,378,1,2019-11-14 18:45:41,R_O3gOBk95UC4tnJ7,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,5,4,2,1,6,1,3,7,No iced tea?
2019-11-14 18:57:10,2019-11-14 18:59:29,0,49.36.12.62,100,139,1,2019-11-14 18:59:30,R_stiMyNXuRiTqN45,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,3,6,4,4,5,3,7,6,
2019-11-14 18:59:34,2019-11-14 19:02:05,0,49.36.10.217,100,151,1,2019-11-14 19:02:06,R_2WA7gyeQws5ajpe,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,1,1,7,7,1,1,7,1,"Green tea n black tea with lemon "
2019-11-14 19:22:54,2019-11-14 19:24:34,0,49.36.12.62,100,99,1,2019-11-14 19:24:34,R_11Xz6e4ZazuPFFQ,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,1,5,3,1,1,1,7,3,"Find it difficult to think of tea in a can "
2019-11-14 19:24:24,2019-11-14 19:26:01,0,49.36.10.217,100,97,1,2019-11-14 19:26:01,R_A5U5xnhRjcSEUeZ,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,2,4,4,5,5,5,6,3,
2019-11-14 20:30:25,2019-11-14 20:31:55,0,42.106.253.6,100,89,1,2019-11-14 20:31:55,R_3efyJX20U6OWVYm,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,4,6,2,1,4,3,3,6,
2019-11-14 21:22:15,2019-11-14 21:23:52,0,74.64.169.180,100,96,1,2019-11-14 21:23:52,R_1oAWxAdSYPsxhe1,,,,,40.76300048828125,-73.9925994873046875,anonymous,EN,1,1,7,4,1,7,4,1,
2019-11-14 21:39:16,2019-11-14 21:42:29,0,49.36.10.217,100,193,1,2019-11-14 21:42:29,R_1FLIm3DqLf8cNuq,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,4,4,5,5,5,4,7,3,
2019-11-14 21:45:23,2019-11-14 21:45:51,0,110.224.59.113,100,28,1,2019-11-14 21:45:52,R_1Op0ozzJviYIKVI,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,6,3,2,3,1,5,4,7,
2019-11-14 21:46:13,2019-11-14 21:47:15,0,42.107.158.213,100,61,1,2019-11-14 21:47:15,R_3iIKkBplFgiX5vp,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,3,3,6,4,5,6,4,4,"Try coffee next time, tea is boring "
2019-11-14 21:49:25,2019-11-14 21:50:35,0,171.51.221.169,100,70,1,2019-11-14 21:50:36,R_3GqbgAES2JzqWKo,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,1,1,1,1,5,4,7,4,
2019-11-14 21:40:12,2019-11-14 21:52:16,0,42.106.219.2,100,723,1,2019-11-14 21:52:17,R_3EXdiSRmtTzTdjh,,,,,19.0727996826171875,72.882598876953125,anonymous,EN,4,5,1,3,6,1,4,2,"Shouldâ€™ve had green tea sweetened decaf glass "
2019-11-15 08:32:24,2019-11-15 08:34:52,0,138.20.184.142,100,148,1,2019-11-15 08:34:52,R_yjXtZpFpCpgAklX,,,,,40.7653045654296875,-73.95890045166015625,anonymous,EN,4,5,3,3,3,2,3,5,
